Id,Cod,Estación,Dirección,Lat,Long
4,28079004,Plaza de España,Plaza de España,40.423853,-3.712247
8,28079008,Escuelas Aguirre,Entre calle Alcala y ODonell,40.421564,-3.682319
11,28079011,Avenida Ramón y Cajal,Avenida Ramón y Cajal - Príncipe de Vergara,40.451475,-3.677356
16,28079016,Arturo Soria,Arturo Soria - Vizconde de los Asilos,40.440047,-3.639233
17,28079017,Villaverde,Juan Peñálver – Palomares,40.347139,-3.713322
18,28079018,Farolillo,Farolillo - Ervigio,40.394781,-3.731853
24,28079024,Casa de Campo,Terminal del Teleférico de la Casa de Campo,40.419356,-3.747347
27,28079027,Barajas Pueblo,Júpiter - Barajas,40.476928,-3.580031
35,28079035,Plaza del Carmen,Plaza del Carmen - Tres Cruces,40.419208,-3.703172
36,28079036,Moratalaz,Avenida Moratalaz - Camino de Vinateros,40.407947,-3.645306
38,28079038,Cuatro Caminos,Pablo Iglesias - Marqués de Lema,40.445544,-3.707128
39,28079039,Barrio del Pilar,Avenida Betanzos - Monforte de Lemos,40.478228,-3.711542
40,28079040,Puente de Vallecas,Arroyo del Olivar - Río Grande,40.388153,-3.651522
47,28079047,Méndez Alvaro,Juan de Mariana - Amanecer M. Álvaro,40.398114,-3.686825
48,28079048,Castellana,Jose Gutiérrez Abascal,40.439897,-3.690367
49,28079049,Parque del Retiro,Paseo Venezuela - Casa de Vacas,40.414444,-3.682583
50,28079050,Plaza de Castilla,Plaza de Castilla - Canal,40.465572,-3.688769
54,28079054,Ensanche de Vallecas,Avenida La Gavia - Avenida Las Suertes,40.372933,-3.612117
55,28079055,Urbanización Embajada,Rio - Barajas,40.462531,-3.580747
56,28079056,Plaza Fernández Ladreda,Plaza de Fernández Ladreda - Avenida Oporto,40.384964,-3.718728
57,28079057,Sanchinarro,Princesa de Éboli - María Tudor,40.491708,-3.660503
58,28079058,El Pardo,Avenida La Guardia,40.518058,-3.774611
59,28079059,Juan Carlos I,Parque Juan Carlos I,40.465250,-3.609072
60,28079060,Tres Olivos,Plaza Tres Olivos,40.500589,-3.689761
